date,time,sensor_id,direction_1,direction_2,total_of_directions,date_time
2022/11/05,22:32,18,1,0,1,2022/11/05 10:32:00 PM
2022/11/05,22:23,8,1,0,1,2022/11/05 10:23:00 PM
2022/11/05,22:23,65,1,11,12,2022/11/05 10:23:00 PM
2022/11/05,22:24,59,1,5,6,2022/11/05 10:24:00 PM
2022/11/05,22:13,36,0,7,7,2022/11/05 10:13:00 PM
2022/11/05,22:31,50,1,2,3,2022/11/05 10:31:00 PM
2022/11/05,22:21,18,2,0,2,2022/11/05 10:21:00 PM
2022/11/05,22:19,4,17,14,31,2022/11/05 10:19:00 PM
2022/11/05,22:29,6,11,16,27,2022/11/05 10:29:00 PM
2022/11/05,22:23,31,8,7,15,2022/11/05 10:23:00 PM
2022/11/05,22:21,6,8,11,19,2022/11/05 10:21:00 PM
2022/11/05,22:22,24,0,6,6,2022/11/05 10:22:00 PM
2022/11/05,22:21,68,4,12,16,2022/11/05 10:21:00 PM
2022/11/05,22:23,24,1,3,4,2022/11/05 10:23:00 PM
2022/11/05,22:17,40,0,3,3,2022/11/05 10:17:00 PM
2022/11/05,22:24,2,2,0,2,2022/11/05 10:24:00 PM
2022/11/05,22:28,70,0,2,2,2022/11/05 10:28:00 PM
2022/11/05,22:27,79,9,6,15,2022/11/05 10:27:00 PM
2022/11/05,22:19,30,17,3,20,2022/11/05 10:19:00 PM
2022/11/05,22:24,5,3,8,11,2022/11/05 10:24:00 PM
2022/11/05,22:15,19,5,3,8,2022/11/05 10:15:00 PM
2022/11/05,22:19,61,11,6,17,2022/11/05 10:19:00 PM
2022/11/05,22:28,47,14,15,29,2022/11/05 10:28:00 PM
2022/11/05,22:25,68,0,2,2,2022/11/05 10:25:00 PM
2022/11/05,22:19,67,5,3,8,2022/11/05 10:19:00 PM
2022/11/05,22:19,84,5,11,16,2022/11/05 10:19:00 PM
2022/11/05,22:29,40,2,0,2,2022/11/05 10:29:00 PM
2022/11/05,22:32,1,1,5,6,2022/11/05 10:32:00 PM
2022/11/05,22:31,3,7,9,16,2022/11/05 10:31:00 PM
2022/11/05,22:29,65,2,11,13,2022/11/05 10:29:00 PM
2022/11/05,22:34,79,6,1,7,2022/11/05 10:34:00 PM
2022/11/05,22:27,59,7,1,8,2022/11/05 10:27:00 PM
2022/11/05,22:21,43,0,1,1,2022/11/05 10:21:00 PM
2022/11/05,22:33,18,0,3,3,2022/11/05 10:33:00 PM
2022/11/05,22:19,21,8,4,12,2022/11/05 10:19:00 PM
2022/11/05,22:33,24,8,5,13,2022/11/05 10:33:00 PM
2022/11/05,22:25,30,6,23,29,2022/11/05 10:25:00 PM
2022/11/05,22:27,58,3,4,7,2022/11/05 10:27:00 PM
2022/11/05,22:32,84,9,15,24,2022/11/05 10:32:00 PM
2022/11/05,22:21,62,1,5,6,2022/11/05 10:21:00 PM
2022/11/05,22:32,56,3,0,3,2022/11/05 10:32:00 PM
2022/11/05,22:30,58,0,2,2,2022/11/05 10:30:00 PM
2022/11/05,22:22,41,10,5,15,2022/11/05 10:22:00 PM
2022/11/05,22:26,54,3,3,6,2022/11/05 10:26:00 PM
2022/11/05,22:25,49,0,3,3,2022/11/05 10:25:00 PM
2022/11/05,22:32,10,1,0,1,2022/11/05 10:32:00 PM
2022/11/05,22:22,50,8,1,9,2022/11/05 10:22:00 PM
2022/11/05,22:11,23,0,2,2,2022/11/05 10:11:00 PM
2022/11/05,22:25,1,8,3,11,2022/11/05 10:25:00 PM
2022/11/05,22:21,86,3,0,3,2022/11/05 10:21:00 PM
2022/11/05,22:25,44,2,0,2,2022/11/05 10:25:00 PM
2022/11/05,22:29,46,1,0,1,2022/11/05 10:29:00 PM
2022/11/05,22:33,62,1,0,1,2022/11/05 10:33:00 PM
2022/11/05,22:14,23,7,1,8,2022/11/05 10:14:00 PM
2022/11/05,22:20,23,0,1,1,2022/11/05 10:20:00 PM
2022/11/05,22:31,42,2,2,4,2022/11/05 10:31:00 PM
2022/11/05,22:23,66,22,9,31,2022/11/05 10:23:00 PM
2022/11/05,22:29,30,12,7,19,2022/11/05 10:29:00 PM
2022/11/05,22:33,65,12,1,13,2022/11/05 10:33:00 PM
2022/11/05,22:26,18,0,1,1,2022/11/05 10:26:00 PM
2022/11/05,22:32,70,1,0,1,2022/11/05 10:32:00 PM
2022/11/05,22:19,24,2,2,4,2022/11/05 10:19:00 PM
2022/11/05,22:28,30,12,13,25,2022/11/05 10:28:00 PM
2022/11/05,22:21,79,2,1,3,2022/11/05 10:21:00 PM
2022/11/05,22:23,29,29,2,31,2022/11/05 10:23:00 PM
2022/11/05,22:32,51,0,1,1,2022/11/05 10:32:00 PM
2022/11/05,22:29,5,5,8,13,2022/11/05 10:29:00 PM
2022/11/05,22:30,41,9,18,27,2022/11/05 10:30:00 PM
2022/11/05,22:30,79,6,6,12,2022/11/05 10:30:00 PM
2022/11/05,22:20,57,0,2,2,2022/11/05 10:20:00 PM
2022/11/05,22:19,70,0,3,3,2022/11/05 10:19:00 PM
2022/11/05,22:22,69,2,0,2,2022/11/05 10:22:00 PM
2022/11/05,22:27,72,4,7,11,2022/11/05 10:27:00 PM
2022/11/05,22:21,11,3,0,3,2022/11/05 10:21:00 PM
2022/11/05,22:22,65,5,9,14,2022/11/05 10:22:00 PM
2022/11/05,22:24,79,6,3,9,2022/11/05 10:24:00 PM
2022/11/05,22:19,45,0,10,10,2022/11/05 10:19:00 PM
2022/11/05,22:31,6,12,5,17,2022/11/05 10:31:00 PM
2022/11/05,22:23,1,3,4,7,2022/11/05 10:23:00 PM
2022/11/05,22:30,14,3,2,5,2022/11/05 10:30:00 PM
2022/11/05,22:27,30,10,6,16,2022/11/05 10:27:00 PM
2022/11/05,22:25,40,2,0,2,2022/11/05 10:25:00 PM
2022/11/05,22:14,40,1,1,2,2022/11/05 10:14:00 PM
2022/11/05,22:22,68,1,2,3,2022/11/05 10:22:00 PM
2022/11/05,22:26,51,0,6,6,2022/11/05 10:26:00 PM
2022/11/05,22:22,61,1,6,7,2022/11/05 10:22:00 PM
2022/11/05,22:30,56,0,10,10,2022/11/05 10:30:00 PM
2022/11/05,22:31,84,7,8,15,2022/11/05 10:31:00 PM
2022/11/05,22:29,66,10,6,16,2022/11/05 10:29:00 PM
2022/11/05,22:20,56,3,5,8,2022/11/05 10:20:00 PM
2022/11/05,22:24,1,8,2,10,2022/11/05 10:24:00 PM
2022/11/05,22:20,11,0,1,1,2022/11/05 10:20:00 PM
2022/11/05,22:29,77,0,3,3,2022/11/05 10:29:00 PM
2022/11/05,22:23,27,6,0,6,2022/11/05 10:23:00 PM
2022/11/05,22:30,18,0,2,2,2022/11/05 10:30:00 PM
2022/11/05,22:21,63,5,3,8,2022/11/05 10:21:00 PM
2022/11/05,22:31,72,9,8,17,2022/11/05 10:31:00 PM
2022/11/05,22:19,58,5,0,5,2022/11/05 10:19:00 PM
2022/11/05,22:27,20,5,1,6,2022/11/05 10:27:00 PM
2022/11/05,22:25,70,1,0,1,2022/11/05 10:25:00 PM
2022/11/05,22:19,20,7,12,19,2022/11/05 10:19:00 PM
2022/11/05,22:26,35,34,35,69,2022/11/05 10:26:00 PM
2022/11/05,22:33,42,1,2,3,2022/11/05 10:33:00 PM
2022/11/05,22:30,66,5,4,9,2022/11/05 10:30:00 PM
2022/11/05,22:27,39,1,1,2,2022/11/05 10:27:00 PM
2022/11/05,22:30,30,12,3,15,2022/11/05 10:30:00 PM
2022/11/05,22:33,68,0,2,2,2022/11/05 10:33:00 PM
2022/11/05,22:25,54,1,1,2,2022/11/05 10:25:00 PM
2022/11/05,22:20,30,14,2,16,2022/11/05 10:20:00 PM
2022/11/05,22:24,58,2,3,5,2022/11/05 10:24:00 PM
2022/11/05,22:22,2,2,4,6,2022/11/05 10:22:00 PM
2022/11/05,22:21,66,6,7,13,2022/11/05 10:21:00 PM
2022/11/05,22:33,2,5,0,5,2022/11/05 10:33:00 PM
2022/11/05,22:15,31,2,7,9,2022/11/05 10:15:00 PM
2022/11/05,22:20,45,2,15,17,2022/11/05 10:20:00 PM
2022/11/05,22:30,48,2,0,2,2022/11/05 10:30:00 PM
2022/11/05,22:22,6,17,21,38,2022/11/05 10:22:00 PM
